aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,country_of_origin,variety,processing_method
8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,East Africa,Other,Washed / Wet
8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,East Africa,Other,Washed / Wet
8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,Guatemala,Bourbon,Other
8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,East Africa,Other,Natural / Dry
8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,East Africa,Other,Washed / Wet
8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,Brazil,Other,Natural / Dry
8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,East Africa,Other,Other
8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,East Africa,Other,Other
8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,East Africa,Other,Natural / Dry
8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,East Africa,Other,Natural / Dry
8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,United States,Other,Washed / Wet
8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,United States,Other,Washed / Wet
8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,United States,Other,Other
8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,East Africa,Other,Other
8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,United States,Other,Washed / Wet
8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,East Africa,Other,Other
8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,Asia Pacific,Catimor,Washed / Wet
8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,East Africa,Ethiopian Yirgacheffe,Natural / Dry
8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,United States,Other,Washed / Wet
