aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,processing_method,country_of_origin,variety
8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,Other,Colombia,Other
8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,Other,Colombia,Other
8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,Other,Colombia,Other
8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,Other,Colombia,Other
8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,Other,Colombia,Other
8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,Other,Colombia,Other
8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,Other,Colombia,Other
8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,Other,Colombia,Other
8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,Other,Colombia,Other
8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,Pulped natural / honey,Brazil,Yellow Bourbon
7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,Other,Colombia,Other
8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,Other,Colombia,Other
7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,Other,Colombia,Other
7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,Other,Colombia,Other
8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,Other,Colombia,Other
8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,Other,Colombia,Other
8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,Other,Colombia,Other
7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,Washed / Wet,Mexico,Caturra
7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,Other,Colombia,Other
8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,Washed / Wet,Mexico,Caturra
8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,Other,Colombia,Other
7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,Other,Colombia,Other
8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,Other,Colombia,Other
8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,Natural / Dry,Brazil,Caturra
7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,Other,Colombia,Other
7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,Other,Colombia,Other
7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,Other,Colombia,Other
8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,Natural / Dry,Brazil,Caturra
7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,Other,Colombia,Other
7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,Other,Colombia,Other
7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,Other,Colombia,Other
7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,Washed / Wet,Mexico,Caturra
7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,Semi-washed / Semi-pulped,Brazil,Typica
